Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;25152 Oluges, Les;5 o más personas;8
Total Nacional;25153 Omellons, Els;Total (tamaño del hogar);87
Total Nacional;25153 Omellons, Els;1 persona;24
Total Nacional;25153 Omellons, Els;2 personas;32
Total Nacional;25153 Omellons, Els;3 personas;16
Total Nacional;25153 Omellons, Els;4 personas;9
Total Nacional;25153 Omellons, Els;5 o más personas;6
Total Nacional;25154 Omells de na Gaia, Els;Total (tamaño del hogar);55
Total Nacional;25154 Omells de na Gaia, Els;1 persona;22
Total Nacional;25154 Omells de na Gaia, Els;2 personas;9
Total Nacional;25154 Omells de na Gaia, Els;3 personas;13
Total Nacional;25154 Omells de na Gaia, Els;4 personas;7
Total Nacional;25154 Omells de na Gaia, Els;5 o más personas;4
Total Nacional;25155 Organyà;Total (tamaño del hogar);350
Total Nacional;25155 Organyà;1 persona;129
Total Nacional;25155 Organyà;2 personas;112
Total Nacional;25155 Organyà;3 personas;53
Total Nacional;25155 Organyà;4 personas;42
Total Nacional;25155 Organyà;5 o más personas;14
Total Nacional;25156 Os de Balaguer;Total (tamaño del hogar);371
Total Nacional;25156 Os de Balaguer;1 persona;93
Total Nacional;25156 Os de Balaguer;2 personas;84
Total Nacional;25156 Os de Balaguer;3 personas;93
Total Nacional;25156 Os de Balaguer;4 personas;71
Total Nacional;25156 Os de Balaguer;5 o más personas;30
Total Nacional;25157 Ossó de Sió;Total (tamaño del hogar);61
Total Nacional;25157 Ossó de Sió;1 persona;10
Total Nacional;25157 Ossó de Sió;2 personas;14
Total Nacional;25157 Ossó de Sió;3 personas;14
Total Nacional;25157 Ossó de Sió;4 personas;9
Total Nacional;25157 Ossó de Sió;5 o más personas;14
Total Nacional;25158 Palau d'Anglesola, El;Total (tamaño del hogar);802
Total Nacional;25158 Palau d'Anglesola, El;1 persona;165
Total Nacional;25158 Palau d'Anglesola, El;2 personas;211
Total Nacional;25158 Palau d'Anglesola, El;3 personas;191
Total Nacional;25158 Palau d'Anglesola, El;4 personas;169
Total Nacional;25158 Palau d'Anglesola, El;5 o más personas;66
Total Nacional;25161 Conca de Dalt;Total (tamaño del hogar);188
Total Nacional;25161 Conca de Dalt;1 persona;74
Total Nacional;25161 Conca de Dalt;2 personas;58
Total Nacional;25161 Conca de Dalt;3 personas;20
Total Nacional;25161 Conca de Dalt;4 personas;18
Total Nacional;25161 Conca de Dalt;5 o más personas;18
Total Nacional;25163 Coma i la Pedra, La;Total (tamaño del hogar);133
Total Nacional;25163 Coma i la Pedra, La;1 persona;64
Total Nacional;25163 Coma i la Pedra, La;2 personas;27
Total Nacional;25163 Coma i la Pedra, La;3 personas;23
Total Nacional;25163 Coma i la Pedra, La;4 personas;9
Total Nacional;25163 Coma i la Pedra, La;5 o más personas;10
Total Nacional;25164 Penelles;Total (tamaño del hogar);158
Total Nacional;25164 Penelles;1 persona;41
Total Nacional;25164 Penelles;2 personas;48
Total Nacional;25164 Penelles;3 personas;27
Total Nacional;25164 Penelles;4 personas;31
Total Nacional;25164 Penelles;5 o más personas;11
Total Nacional;25165 Peramola;Total (tamaño del hogar);138
Total Nacional;25165 Peramola;1 persona;47
Total Nacional;25165 Peramola;2 personas;39
Total Nacional;25165 Peramola;3 personas;16
Total Nacional;25165 Peramola;4 personas;19
Total Nacional;25165 Peramola;5 o más personas;17
Total Nacional;25166 Pinell de Solsonès;Total (tamaño del hogar);63
Total Nacional;25166 Pinell de Solsonès;1 persona;17
Total Nacional;25166 Pinell de Solsonès;2 personas;14
Total Nacional;25166 Pinell de Solsonès;3 personas;13
Total Nacional;25166 Pinell de Solsonès;4 personas;7
Total Nacional;25166 Pinell de Solsonès;5 o más personas;12
Total Nacional;25167 Pinós;Total (tamaño del hogar);102
Total Nacional;25167 Pinós;1 persona;30
Total Nacional;25167 Pinós;2 personas;22
Total Nacional;25167 Pinós;3 personas;12
Total Nacional;25167 Pinós;4 personas;19
Total Nacional;25167 Pinós;5 o más personas;19
Total Nacional;25168 Poal, El;Total (tamaño del hogar);234
Total Nacional;25168 Poal, El;1 persona;43
Total Nacional;25168 Poal, El;2 personas;62
Total Nacional;25168 Poal, El;3 personas;54
Total Nacional;25168 Poal, El;4 personas;53
Total Nacional;25168 Poal, El;5 o más personas;22
Total Nacional;25169 Pobla de Cérvoles, La;Total (tamaño del hogar);104
Total Nacional;25169 Pobla de Cérvoles, La;1 persona;50
Total Nacional;25169 Pobla de Cérvoles, La;2 personas;29
Total Nacional;25169 Pobla de Cérvoles, La;3 personas;12
Total Nacional;25169 Pobla de Cérvoles, La;4 personas;10
Total Nacional;25169 Pobla de Cérvoles, La;5 o más personas;3
Total Nacional;25170 Bellaguarda;Total (tamaño del hogar);112
Total Nacional;25170 Bellaguarda;1 persona;34
Total Nacional;25170 Bellaguarda;2 personas;17
Total Nacional;25170 Bellaguarda;3 personas;27
Total Nacional;25170 Bellaguarda;4 personas;23
Total Nacional;25170 Bellaguarda;5 o más personas;11
Total Nacional;25171 Pobla de Segur, La;Total (tamaño del hogar);1.333
Total Nacional;25171 Pobla de Segur, La;1 persona;473
Total Nacional;25171 Pobla de Segur, La;2 personas;400
Total Nacional;25171 Pobla de Segur, La;3 personas;222
Total Nacional;25171 Pobla de Segur, La;4 personas;167
Total Nacional;25171 Pobla de Segur, La;5 o más personas;71
Total Nacional;25172 Ponts;Total (tamaño del hogar);1.043
Total Nacional;25172 Ponts;1 persona;289
Total Nacional;25172 Ponts;2 personas;306
Total Nacional;25172 Ponts;3 personas;192
Total Nacional;25172 Ponts;4 personas;168
Total Nacional;25172 Ponts;5 o más personas;88
Total Nacional;25173 Pont de Suert, El;Total (tamaño del hogar);1.004
Total Nacional;25173 Pont de Suert, El;1 persona;343
Total Nacional;25173 Pont de Suert, El;2 personas;261
Total Nacional;25173 Pont de Suert, El;3 personas;190
Total Nacional;25173 Pont de Suert, El;4 personas;155
Total Nacional;25173 Pont de Suert, El;5 o más personas;55
Total Nacional;25174 Portella, La;Total (tamaño del hogar);231
Total Nacional;25174 Portella, La;1 persona;38
Total Nacional;25174 Portella, La;2 personas;66
Total Nacional;25174 Portella, La;3 personas;45
Total Nacional;25174 Portella, La;4 personas;48
Total Nacional;25174 Portella, La;5 o más personas;34
Total Nacional;25175 Prats i Sansor;Total (tamaño del hogar);108
Total Nacional;25175 Prats i Sansor;1 persona;35
Total Nacional;25175 Prats i Sansor;2 personas;30
Total Nacional;25175 Prats i Sansor;3 personas;19
Total Nacional;25175 Prats i Sansor;4 personas;19
Total Nacional;25175 Prats i Sansor;5 o más personas;5
Total Nacional;25176 Preixana;Total (tamaño del hogar);159
Total Nacional;25176 Preixana;1 persona;44
Total Nacional;25176 Preixana;2 personas;48
Total Nacional;25176 Preixana;3 personas;39
Total Nacional;25176 Preixana;4 personas;14
Total Nacional;25176 Preixana;5 o más personas;14
Total Nacional;25177 Preixens;Total (tamaño del hogar);164
Total Nacional;25177 Preixens;1 persona;47
Total Nacional;25177 Preixens;2 personas;43
Total Nacional;25177 Preixens;3 personas;37
Total Nacional;25177 Preixens;4 personas;21
Total Nacional;25177 Preixens;5 o más personas;16
Total Nacional;25179 Prullans;Total (tamaño del hogar);118
Total Nacional;25179 Prullans;1 persona;54
Total Nacional;25179 Prullans;2 personas;30
Total Nacional;25179 Prullans;3 personas;17
Total Nacional;25179 Prullans;4 personas;8
Total Nacional;25179 Prullans;5 o más personas;9
Total Nacional;25180 Puiggròs;Total (tamaño del hogar);112
Total Nacional;25180 Puiggròs;1 persona;37
Total Nacional;25180 Puiggròs;2 personas;34
Total Nacional;25180 Puiggròs;3 personas;11
Total Nacional;25180 Puiggròs;4 personas;26
Total Nacional;25180 Puiggròs;5 o más personas;4
Total Nacional;25181 Puigverd d'Agramunt;Total (tamaño del hogar);95
Total Nacional;25181 Puigverd d'Agramunt;1 persona;34
Total Nacional;25181 Puigverd d'Agramunt;2 personas;18
Total Nacional;25181 Puigverd d'Agramunt;3 personas;22
Total Nacional;25181 Puigverd d'Agramunt;4 personas;16
Total Nacional;25181 Puigverd d'Agramunt;5 o más personas;5
Total Nacional;25182 Puigverd de Lleida;Total (tamaño del hogar);507
Total Nacional;25182 Puigverd de Lleida;1 persona;110
Total Nacional;25182 Puigverd de Lleida;2 personas;136
Total Nacional;25182 Puigverd de Lleida;3 personas;121
Total Nacional;25182 Puigverd de Lleida;4 personas;97
Total Nacional;25182 Puigverd de Lleida;5 o más personas;43
Total Nacional;25183 Rialp;Total (tamaño del hogar);295
Total Nacional;25183 Rialp;1 persona;113
Total Nacional;25183 Rialp;2 personas;75
Total Nacional;25183 Rialp;3 personas;55
Total Nacional;25183 Rialp;4 personas;37
Total Nacional;25183 Rialp;5 o más personas;15
Total Nacional;25185 Ribera d'Urgellet;Total (tamaño del hogar);376
Total Nacional;25185 Ribera d'Urgellet;1 persona;115
Total Nacional;25185 Ribera d'Urgellet;2 personas;96
Total Nacional;25185 Ribera d'Urgellet;3 personas;72
Total Nacional;25185 Ribera d'Urgellet;4 personas;62
Total Nacional;25185 Ribera d'Urgellet;5 o más personas;31
Total Nacional;25186 Riner;Total (tamaño del hogar);92
Total Nacional;25186 Riner;1 persona;19
Total Nacional;25186 Riner;2 personas;20
Total Nacional;25186 Riner;3 personas;17
Total Nacional;25186 Riner;4 personas;23
Total Nacional;25186 Riner;5 o más personas;13
Total Nacional;25189 Rosselló;Total (tamaño del hogar);1.173
Total Nacional;25189 Rosselló;1 persona;259
Total Nacional;25189 Rosselló;2 personas;316
Total Nacional;25189 Rosselló;3 personas;275
Total Nacional;25189 Rosselló;4 personas;231
Total Nacional;25189 Rosselló;5 o más personas;92
Total Nacional;25190 Salàs de Pallars;Total (tamaño del hogar);152
Total Nacional;25190 Salàs de Pallars;1 persona;53
Total Nacional;25190 Salàs de Pallars;2 personas;42
Total Nacional;25190 Salàs de Pallars;3 personas;37
Total Nacional;25190 Salàs de Pallars;4 personas;10
Total Nacional;25190 Salàs de Pallars;5 o más personas;10
Total Nacional;25191 Sanaüja;Total (tamaño del hogar);170
Total Nacional;25191 Sanaüja;1 persona;61
Total Nacional;25191 Sanaüja;2 personas;43
Total Nacional;25191 Sanaüja;3 personas;25
Total Nacional;25191 Sanaüja;4 personas;29
Total Nacional;25191 Sanaüja;5 o más personas;12
Total Nacional;25192 Sant Guim de Freixenet;Total (tamaño del hogar);437
Total Nacional;25192 Sant Guim de Freixenet;1 persona;127
Total Nacional;25192 Sant Guim de Freixenet;2 personas;138
Total Nacional;25192 Sant Guim de Freixenet;3 personas;81
Total Nacional;25192 Sant Guim de Freixenet;4 personas;57
Total Nacional;25192 Sant Guim de Freixenet;5 o más personas;34
Total Nacional;25193 Sant Llorenç de Morunys;Total (tamaño del hogar);417
Total Nacional;25193 Sant Llorenç de Morunys;1 persona;138
Total Nacional;25193 Sant Llorenç de Morunys;2 personas;117
Total Nacional;25193 Sant Llorenç de Morunys;3 personas;85
Total Nacional;25193 Sant Llorenç de Morunys;4 personas;57
Total Nacional;25193 Sant Llorenç de Morunys;5 o más personas;20
Total Nacional;25194 Sant Ramon;Total (tamaño del hogar);177
Total Nacional;25194 Sant Ramon;1 persona;39
Total Nacional;25194 Sant Ramon;2 personas;54
Total Nacional;25194 Sant Ramon;3 personas;33
Total Nacional;25194 Sant Ramon;4 personas;31
Total Nacional;25194 Sant Ramon;5 o más personas;20
Total Nacional;25196 Sant Esteve de la Sarga;Total (tamaño del hogar);60
Total Nacional;25196 Sant Esteve de la Sarga;1 persona;29
Total Nacional;25196 Sant Esteve de la Sarga;2 personas;16
Total Nacional;25196 Sant Esteve de la Sarga;3 personas;8
Total Nacional;25196 Sant Esteve de la Sarga;4 personas;3
Total Nacional;25196 Sant Esteve de la Sarga;5 o más personas;4
Total Nacional;25197 Sant Guim de la Plana;Total (tamaño del hogar);63
Total Nacional;25197 Sant Guim de la Plana;1 persona;14
Total Nacional;25197 Sant Guim de la Plana;2 personas;17
Total Nacional;25197 Sant Guim de la Plana;3 personas;11
Total Nacional;25197 Sant Guim de la Plana;4 personas;12
Total Nacional;25197 Sant Guim de la Plana;5 o más personas;9
Total Nacional;25200 Sarroca de Lleida;Total (tamaño del hogar);151
Total Nacional;25200 Sarroca de Lleida;1 persona;48
Total Nacional;25200 Sarroca de Lleida;2 personas;39
Total Nacional;25200 Sarroca de Lleida;3 personas;35
Total Nacional;25200 Sarroca de Lleida;4 personas;21
Total Nacional;25200 Sarroca de Lleida;5 o más personas;8
Total Nacional;25201 Sarroca de Bellera;Total (tamaño del hogar);53
Total Nacional;25201 Sarroca de Bellera;1 persona;24
Total Nacional;25201 Sarroca de Bellera;2 personas;14
Total Nacional;25201 Sarroca de Bellera;3 personas;5
Total Nacional;25201 Sarroca de Bellera;4 personas;3
Total Nacional;25201 Sarroca de Bellera;5 o más personas;7
Total Nacional;25202 Senterada;Total (tamaño del hogar);66
Total Nacional;25202 Senterada;1 persona;26
Total Nacional;25202 Senterada;2 personas;23
Total Nacional;25202 Senterada;3 personas;8
Total Nacional;25202 Senterada;4 personas;3
Total Nacional;25202 Senterada;5 o más personas;6
Total Nacional;25203 Seu d'Urgell, La;Total (tamaño del hogar);5.075
Total Nacional;25203 Seu d'Urgell, La;1 persona;1.511
Total Nacional;25203 Seu d'Urgell, La;2 personas;1.495
Total Nacional;25203 Seu d'Urgell, La;3 personas;1.041
Total Nacional;25203 Seu d'Urgell, La;4 personas;738
Total Nacional;25203 Seu d'Urgell, La;5 o más personas;290
Total Nacional;25204 Seròs;Total (tamaño del hogar);674
Total Nacional;25204 Seròs;1 persona;146
Total Nacional;25204 Seròs;2 personas;158
Total Nacional;25204 Seròs;3 personas;151
Total Nacional;25204 Seròs;4 personas;135
Total Nacional;25204 Seròs;5 o más personas;84
Total Nacional;25205 Sidamon;Total (tamaño del hogar);277
Total Nacional;25205 Sidamon;1 persona;53
Total Nacional;25205 Sidamon;2 personas;83
Total Nacional;25205 Sidamon;3 personas;73
Total Nacional;25205 Sidamon;4 personas;47
Total Nacional;25205 Sidamon;5 o más personas;21
Total Nacional;25206 Soleràs, El;Total (tamaño del hogar);139
Total Nacional;25206 Soleràs, El;1 persona;49
Total Nacional;25206 Soleràs, El;2 personas;40
Total Nacional;25206 Soleràs, El;3 personas;20
Total Nacional;25206 Soleràs, El;4 personas;16
Total Nacional;25206 Soleràs, El;5 o más personas;14
Total Nacional;25207 Solsona;Total (tamaño del hogar);3.693
Total Nacional;25207 Solsona;1 persona;1.073
Total Nacional;25207 Solsona;2 personas;1.002
Total Nacional;25207 Solsona;3 personas;740
Total Nacional;25207 Solsona;4 personas;629
Total Nacional;25207 Solsona;5 o más personas;249
Total Nacional;25208 Soriguera;Total (tamaño del hogar);188
Total Nacional;25208 Soriguera;1 persona;80
Total Nacional;25208 Soriguera;2 personas;44
Total Nacional;25208 Soriguera;3 personas;25
Total Nacional;25208 Soriguera;4 personas;19
Total Nacional;25208 Soriguera;5 o más personas;20
Total Nacional;25209 Sort;Total (tamaño del hogar);979
Total Nacional;25209 Sort;1 persona;373
Total Nacional;25209 Sort;2 personas;260
Total Nacional;25209 Sort;3 personas;173
Total Nacional;25209 Sort;4 personas;109
Total Nacional;25209 Sort;5 o más personas;64
Total Nacional;25210 Soses;Total (tamaño del hogar);612
Total Nacional;25210 Soses;1 persona;126
Total Nacional;25210 Soses;2 personas;158
Total Nacional;25210 Soses;3 personas;120
Total Nacional;25210 Soses;4 personas;129
Total Nacional;25210 Soses;5 o más personas;79
Total Nacional;25211 Sudanell;Total (tamaño del hogar);316
Total Nacional;25211 Sudanell;1 persona;84
Total Nacional;25211 Sudanell;2 personas;91
Total Nacional;25211 Sudanell;3 personas;71
Total Nacional;25211 Sudanell;4 personas;52
Total Nacional;25211 Sudanell;5 o más personas;18
Total Nacional;25212 Sunyer;Total (tamaño del hogar);128
Total Nacional;25212 Sunyer;1 persona;35
Total Nacional;25212 Sunyer;2 personas;37
Total Nacional;25212 Sunyer;3 personas;26
Total Nacional;25212 Sunyer;4 personas;16
Total Nacional;25212 Sunyer;5 o más personas;14
Total Nacional;25215 Talarn;Total (tamaño del hogar);157
Total Nacional;25215 Talarn;1 persona;62
Total Nacional;25215 Talarn;2 personas;38
Total Nacional;25215 Talarn;3 personas;23
Total Nacional;25215 Talarn;4 personas;20
Total Nacional;25215 Talarn;5 o más personas;14
Total Nacional;25216 Talavera;Total (tamaño del hogar);96
Total Nacional;25216 Talavera;1 persona;24
Total Nacional;25216 Talavera;2 personas;25
Total Nacional;25216 Talavera;3 personas;15
Total Nacional;25216 Talavera;4 personas;12
Total Nacional;25216 Talavera;5 o más personas;20
Total Nacional;25217 Tàrrega;Total (tamaño del hogar);6.612
Total Nacional;25217 Tàrrega;1 persona;1.674
Total Nacional;25217 Tàrrega;2 personas;1.715
Total Nacional;25217 Tàrrega;3 personas;1.374
Total Nacional;25217 Tàrrega;4 personas;1.210
Total Nacional;25217 Tàrrega;5 o más personas;639
Total Nacional;25218 Tarrés;Total (tamaño del hogar);46
Total Nacional;25218 Tarrés;1 persona;20
Total Nacional;25218 Tarrés;2 personas;7
Total Nacional;25218 Tarrés;3 personas;10
Total Nacional;25218 Tarrés;4 personas;6
Total Nacional;25218 Tarrés;5 o más personas;3
Total Nacional;25219 Tarroja de Segarra;Total (tamaño del hogar);72
Total Nacional;25219 Tarroja de Segarra;1 persona;20
Total Nacional;25219 Tarroja de Segarra;2 personas;18
Total Nacional;25219 Tarroja de Segarra;3 personas;14
Total Nacional;25219 Tarroja de Segarra;4 personas;14
Total Nacional;25219 Tarroja de Segarra;5 o más personas;6
Total Nacional;25220 Térmens;Total (tamaño del hogar);476
Total Nacional;25220 Térmens;1 persona;102
Total Nacional;25220 Térmens;2 personas;124
Total Nacional;25220 Térmens;3 personas;104
Total Nacional;25220 Térmens;4 personas;94
Total Nacional;25220 Térmens;5 o más personas;52
Total Nacional;25221 Tírvia;Total (tamaño del hogar);61
Total Nacional;25221 Tírvia;1 persona;30
Total Nacional;25221 Tírvia;2 personas;10
Total Nacional;25221 Tírvia;3 personas;9
Total Nacional;25221 Tírvia;4 personas;8
Total Nacional;25221 Tírvia;5 o más personas;4
Total Nacional;25222 Tiurana;Total (tamaño del hogar);29
Total Nacional;25222 Tiurana;1 persona;10
Total Nacional;25222 Tiurana;2 personas;8
Total Nacional;25222 Tiurana;3 personas;5
Total Nacional;25222 Tiurana;4 personas;2
Total Nacional;25222 Tiurana;5 o más personas;4
Total Nacional;25223 Torà;Total (tamaño del hogar);491
Total Nacional;25223 Torà;1 persona;132
Total Nacional;25223 Torà;2 personas;124
Total Nacional;25223 Torà;3 personas;125
Total Nacional;25223 Torà;4 personas;79
Total Nacional;25223 Torà;5 o más personas;31
Total Nacional;25224 Torms, Els;Total (tamaño del hogar);66
Total Nacional;25224 Torms, Els;1 persona;27
Total Nacional;25224 Torms, Els;2 personas;16
Total Nacional;25224 Torms, Els;3 personas;10
Total Nacional;25224 Torms, Els;4 personas;10
Total Nacional;25224 Torms, Els;5 o más personas;3
Total Nacional;25225 Tornabous;Total (tamaño del hogar);302
Total Nacional;25225 Tornabous;1 persona;77
Total Nacional;25225 Tornabous;2 personas;87
Total Nacional;25225 Tornabous;3 personas;53
Total Nacional;25225 Tornabous;4 personas;54
Total Nacional;25225 Tornabous;5 o más personas;31
Total Nacional;25226 Torrebesses;Total (tamaño del hogar);121
Total Nacional;25226 Torrebesses;1 persona;40
Total Nacional;25226 Torrebesses;2 personas;27
Total Nacional;25226 Torrebesses;3 personas;27
Total Nacional;25226 Torrebesses;4 personas;16
Total Nacional;25226 Torrebesses;5 o más personas;11
Total Nacional;25227 Torre de Cabdella, La;Total (tamaño del hogar);401
Total Nacional;25227 Torre de Cabdella, La;1 persona;227
Total Nacional;25227 Torre de Cabdella, La;2 personas;78
Total Nacional;25227 Torre de Cabdella, La;3 personas;44
Total Nacional;25227 Torre de Cabdella, La;4 personas;30
Total Nacional;25227 Torre de Cabdella, La;5 o más personas;22
Total Nacional;25228 Torrefarrera;Total (tamaño del hogar);1.677
Total Nacional;25228 Torrefarrera;1 persona;307
Total Nacional;25228 Torrefarrera;2 personas;426
Total Nacional;25228 Torrefarrera;3 personas;421
Total Nacional;25228 Torrefarrera;4 personas;391
Total Nacional;25228 Torrefarrera;5 o más personas;132
Total Nacional;25230 Torregrossa;Total (tamaño del hogar);812
Total Nacional;25230 Torregrossa;1 persona;203
Total Nacional;25230 Torregrossa;2 personas;205
Total Nacional;25230 Torregrossa;3 personas;178
Total Nacional;25230 Torregrossa;4 personas;143
Total Nacional;25230 Torregrossa;5 o más personas;83
Total Nacional;25231 Torrelameu;Total (tamaño del hogar);258
Total Nacional;25231 Torrelameu;1 persona;57
Total Nacional;25231 Torrelameu;2 personas;55
Total Nacional;25231 Torrelameu;3 personas;64
Total Nacional;25231 Torrelameu;4 personas;48
Total Nacional;25231 Torrelameu;5 o más personas;34
Total Nacional;25232 Torres de Segre;Total (tamaño del hogar);815
Total Nacional;25232 Torres de Segre;1 persona;180
Total Nacional;25232 Torres de Segre;2 personas;237
Total Nacional;25232 Torres de Segre;3 personas;163
Total Nacional;25232 Torres de Segre;4 personas;166
Total Nacional;25232 Torres de Segre;5 o más personas;69
Total Nacional;25233 Torre-serona;Total (tamaño del hogar);140
Total Nacional;25233 Torre-serona;1 persona;35
Total Nacional;25233 Torre-serona;2 personas;36
Total Nacional;25233 Torre-serona;3 personas;25
Total Nacional;25233 Torre-serona;4 personas;28
Total Nacional;25233 Torre-serona;5 o más personas;16
Total Nacional;25234 Tremp;Total (tamaño del hogar);2.497
Total Nacional;25234 Tremp;1 persona;862
Total Nacional;25234 Tremp;2 personas;678
Total Nacional;25234 Tremp;3 personas;456
Total Nacional;25234 Tremp;4 personas;339
Total Nacional;25234 Tremp;5 o más personas;162
Total Nacional;25238 Vallbona de les Monges;Total (tamaño del hogar);98
Total Nacional;25238 Vallbona de les Monges;1 persona;42
Total Nacional;25238 Vallbona de les Monges;2 personas;23
Total Nacional;25238 Vallbona de les Monges;3 personas;15
Total Nacional;25238 Vallbona de les Monges;4 personas;12
Total Nacional;25238 Vallbona de les Monges;5 o más personas;6
Total Nacional;25239 Valls de Valira, Les;Total (tamaño del hogar);315
Total Nacional;25239 Valls de Valira, Les;1 persona;97
Total Nacional;25239 Valls de Valira, Les;2 personas;98
Total Nacional;25239 Valls de Valira, Les;3 personas;46
Total Nacional;25239 Valls de Valira, Les;4 personas;47
Total Nacional;25239 Valls de Valira, Les;5 o más personas;27
Total Nacional;25240 Vallfogona de Balaguer;Total (tamaño del hogar);690
Total Nacional;25240 Vallfogona de Balaguer;1 persona;149
Total Nacional;25240 Vallfogona de Balaguer;2 personas;178
Total Nacional;25240 Vallfogona de Balaguer;3 personas;158
Total Nacional;25240 Vallfogona de Balaguer;4 personas;140
Total Nacional;25240 Vallfogona de Balaguer;5 o más personas;65
Total Nacional;25242 Verdú;Total (tamaño del hogar);337
Total Nacional;25242 Verdú;1 persona;100
Total Nacional;25242 Verdú;2 personas;88
Total Nacional;25242 Verdú;3 personas;70
Total Nacional;25242 Verdú;4 personas;49
Total Nacional;25242 Verdú;5 o más personas;30
Total Nacional;25243 Vielha e Mijaran;Total (tamaño del hogar);2.395
Total Nacional;25243 Vielha e Mijaran;1 persona;789
Total Nacional;25243 Vielha e Mijaran;2 personas;649
Total Nacional;25243 Vielha e Mijaran;3 personas;468
Total Nacional;25243 Vielha e Mijaran;4 personas;340
Total Nacional;25243 Vielha e Mijaran;5 o más personas;149
Total Nacional;25244 Vilagrassa;Total (tamaño del hogar);215
Total Nacional;25244 Vilagrassa;1 persona;47
Total Nacional;25244 Vilagrassa;2 personas;57
Total Nacional;25244 Vilagrassa;3 personas;54
Total Nacional;25244 Vilagrassa;4 personas;39
Total Nacional;25244 Vilagrassa;5 o más personas;18
Total Nacional;25245 Vilaller;Total (tamaño del hogar);247
Total Nacional;25245 Vilaller;1 persona;92
Total Nacional;25245 Vilaller;2 personas;72
Total Nacional;25245 Vilaller;3 personas;36
Total Nacional;25245 Vilaller;4 personas;33
Total Nacional;25245 Vilaller;5 o más personas;14
Total Nacional;25247 Vilamòs;Total (tamaño del hogar);73
Total Nacional;25247 Vilamòs;1 persona;26
Total Nacional;25247 Vilamòs;2 personas;20
Total Nacional;25247 Vilamòs;3 personas;14
Total Nacional;25247 Vilamòs;4 personas;8
Total Nacional;25247 Vilamòs;5 o más personas;5
Total Nacional;25248 Vilanova de Bellpuig;Total (tamaño del hogar);414
Total Nacional;25248 Vilanova de Bellpuig;1 persona;83
Total Nacional;25248 Vilanova de Bellpuig;2 personas;125
Total Nacional;25248 Vilanova de Bellpuig;3 personas;82
Total Nacional;25248 Vilanova de Bellpuig;4 personas;75
Total Nacional;25248 Vilanova de Bellpuig;5 o más personas;49
Total Nacional;25249 Vilanova de l'Aguda;Total (tamaño del hogar);72
Total Nacional;25249 Vilanova de l'Aguda;1 persona;23
Total Nacional;25249 Vilanova de l'Aguda;2 personas;16
Total Nacional;25249 Vilanova de l'Aguda;3 personas;12
Total Nacional;25249 Vilanova de l'Aguda;4 personas;9
Total Nacional;25249 Vilanova de l'Aguda;5 o más personas;12
Total Nacional;25250 Vilanova de Meià;Total (tamaño del hogar);179
Total Nacional;25250 Vilanova de Meià;1 persona;73
Total Nacional;25250 Vilanova de Meià;2 personas;47
Total Nacional;25250 Vilanova de Meià;3 personas;29
Total Nacional;25250 Vilanova de Meià;4 personas;14
Total Nacional;25250 Vilanova de Meià;5 o más personas;16
Total Nacional;25251 Vilanova de Segrià;Total (tamaño del hogar);387
Total Nacional;25251 Vilanova de Segrià;1 persona;87
Total Nacional;25251 Vilanova de Segrià;2 personas;126
Total Nacional;25251 Vilanova de Segrià;3 personas;82
Total Nacional;25251 Vilanova de Segrià;4 personas;60
Total Nacional;25251 Vilanova de Segrià;5 o más personas;32
Total Nacional;25252 Vila-sana;Total (tamaño del hogar);281
Total Nacional;25252 Vila-sana;1 persona;63
Total Nacional;25252 Vila-sana;2 personas;68
Total Nacional;25252 Vila-sana;3 personas;69
Total Nacional;25252 Vila-sana;4 personas;53
Total Nacional;25252 Vila-sana;5 o más personas;28
Total Nacional;25253 Vilosell, El;Total (tamaño del hogar);90
Total Nacional;25253 Vilosell, El;1 persona;32
Total Nacional;25253 Vilosell, El;2 personas;30
Total Nacional;25253 Vilosell, El;3 personas;15
Total Nacional;25253 Vilosell, El;4 personas;10
Total Nacional;25253 Vilosell, El;5 o más personas;3
Total Nacional;25254 Vilanova de la Barca;Total (tamaño del hogar);392
Total Nacional;25254 Vilanova de la Barca;1 persona;104
Total Nacional;25254 Vilanova de la Barca;2 personas;112
Total Nacional;25254 Vilanova de la Barca;3 personas;71
Total Nacional;25254 Vilanova de la Barca;4 personas;70
Total Nacional;25254 Vilanova de la Barca;5 o más personas;35
Total Nacional;25255 Vinaixa;Total (tamaño del hogar);198
Total Nacional;25255 Vinaixa;1 persona;69
Total Nacional;25255 Vinaixa;2 personas;53
Total Nacional;25255 Vinaixa;3 personas;33
Total Nacional;25255 Vinaixa;4 personas;30
Total Nacional;25255 Vinaixa;5 o más personas;13
Total Nacional;25901 Vall de Cardós;Total (tamaño del hogar);185
Total Nacional;25901 Vall de Cardós;1 persona;88
Total Nacional;25901 Vall de Cardós;2 personas;41
Total Nacional;25901 Vall de Cardós;3 personas;29
Total Nacional;25901 Vall de Cardós;4 personas;16
Total Nacional;25901 Vall de Cardós;5 o más personas;11
Total Nacional;25902 Sant Martí de Riucorb;Total (tamaño del hogar);260
Total Nacional;25902 Sant Martí de Riucorb;1 persona;71
Total Nacional;25902 Sant Martí de Riucorb;2 personas;75
Total Nacional;25902 Sant Martí de Riucorb;3 personas;55
