Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;01034 Leza;4 personas;14
Total Nacional;01034 Leza;5 o más personas;6
Total Nacional;01036 Laudio/Llodio;Total (tamaño del hogar);7.708
Total Nacional;01036 Laudio/Llodio;1 persona;2.297
Total Nacional;01036 Laudio/Llodio;2 personas;2.442
Total Nacional;01036 Laudio/Llodio;3 personas;1.504
Total Nacional;01036 Laudio/Llodio;4 personas;1.172
Total Nacional;01036 Laudio/Llodio;5 o más personas;293
Total Nacional;01037 Arraia-Maeztu;Total (tamaño del hogar);365
Total Nacional;01037 Arraia-Maeztu;1 persona;150
Total Nacional;01037 Arraia-Maeztu;2 personas;90
Total Nacional;01037 Arraia-Maeztu;3 personas;53
Total Nacional;01037 Arraia-Maeztu;4 personas;53
Total Nacional;01037 Arraia-Maeztu;5 o más personas;19
Total Nacional;01039 Moreda de Álava/Moreda Araba;Total (tamaño del hogar);101
Total Nacional;01039 Moreda de Álava/Moreda Araba;1 persona;46
Total Nacional;01039 Moreda de Álava/Moreda Araba;2 personas;23
Total Nacional;01039 Moreda de Álava/Moreda Araba;3 personas;16
Total Nacional;01039 Moreda de Álava/Moreda Araba;4 personas;9
Total Nacional;01039 Moreda de Álava/Moreda Araba;5 o más personas;7
Total Nacional;01041 Navaridas;Total (tamaño del hogar);79
Total Nacional;01041 Navaridas;1 persona;25
Total Nacional;01041 Navaridas;2 personas;25
Total Nacional;01041 Navaridas;3 personas;14
Total Nacional;01041 Navaridas;4 personas;11
Total Nacional;01041 Navaridas;5 o más personas;4
Total Nacional;01042 Okondo;Total (tamaño del hogar);469
Total Nacional;01042 Okondo;1 persona;112
Total Nacional;01042 Okondo;2 personas;140
Total Nacional;01042 Okondo;3 personas;99
Total Nacional;01042 Okondo;4 personas;94
Total Nacional;01042 Okondo;5 o más personas;24
Total Nacional;01043 Oyón-Oion;Total (tamaño del hogar);1.352
Total Nacional;01043 Oyón-Oion;1 persona;415
Total Nacional;01043 Oyón-Oion;2 personas;341
Total Nacional;01043 Oyón-Oion;3 personas;247
Total Nacional;01043 Oyón-Oion;4 personas;235
Total Nacional;01043 Oyón-Oion;5 o más personas;114
Total Nacional;01044 Peñacerrada-Urizaharra;Total (tamaño del hogar);149
Total Nacional;01044 Peñacerrada-Urizaharra;1 persona;57
Total Nacional;01044 Peñacerrada-Urizaharra;2 personas;48
Total Nacional;01044 Peñacerrada-Urizaharra;3 personas;34
Total Nacional;01044 Peñacerrada-Urizaharra;4 personas;9
Total Nacional;01044 Peñacerrada-Urizaharra;5 o más personas;1
Total Nacional;01046 Erriberagoitia/Ribera Alta;Total (tamaño del hogar);350
Total Nacional;01046 Erriberagoitia/Ribera Alta;1 persona;127
Total Nacional;01046 Erriberagoitia/Ribera Alta;2 personas;90
Total Nacional;01046 Erriberagoitia/Ribera Alta;3 personas;54
Total Nacional;01046 Erriberagoitia/Ribera Alta;4 personas;50
Total Nacional;01046 Erriberagoitia/Ribera Alta;5 o más personas;29
Total Nacional;01047 Erriberabeitia;Total (tamaño del hogar);505
Total Nacional;01047 Erriberabeitia;1 persona;109
Total Nacional;01047 Erriberabeitia;2 personas;134
Total Nacional;01047 Erriberabeitia;3 personas;108
Total Nacional;01047 Erriberabeitia;4 personas;115
Total Nacional;01047 Erriberabeitia;5 o más personas;39
Total Nacional;01049 Añana;Total (tamaño del hogar);82
Total Nacional;01049 Añana;1 persona;45
Total Nacional;01049 Añana;2 personas;19
Total Nacional;01049 Añana;3 personas;9
Total Nacional;01049 Añana;4 personas;5
Total Nacional;01049 Añana;5 o más personas;4
Total Nacional;01051 Agurain/Salvatierra;Total (tamaño del hogar);2.045
Total Nacional;01051 Agurain/Salvatierra;1 persona;623
Total Nacional;01051 Agurain/Salvatierra;2 personas;597
Total Nacional;01051 Agurain/Salvatierra;3 personas;364
Total Nacional;01051 Agurain/Salvatierra;4 personas;342
Total Nacional;01051 Agurain/Salvatierra;5 o más personas;119
Total Nacional;01052 Samaniego;Total (tamaño del hogar);119
Total Nacional;01052 Samaniego;1 persona;40
Total Nacional;01052 Samaniego;2 personas;34
Total Nacional;01052 Samaniego;3 personas;21
